Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453002.2791,-201700.00,5700.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453101.0241,178700.00,4600.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453216.0035,74500.00,7900.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453334.3172,-184500.00,5500.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453340.3401,-160200.00,4600.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453364.3191,-76900.00,7900.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453366.2249,-76600.00,5200.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453367.2333,-79300.00,5400.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453376.3243,-12500.00,4700.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453403.2636,65300.00,5100.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453424.1132,150700.00,5100.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453447.1803,232500.00,4600.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453468.0504,251200.00,5600.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453495.1120,293400.00,4500.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453521.0884,212500.00,7500.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453577.9651,-217700.00,6200.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453694.3575,-38200.00,5000.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453728.3204,63200.00,5100.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453743.3484,127700.00,5000.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453775.2089,241600.00,4700.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453810.1629,311600.00,3900.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453831.1262,301000.00,4500.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453853.1393,188700.00,5800.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453887.0520,-148500.00,5700.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2454051.3576,43800.00,4600.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2454088.3683,189000.00,4800.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2454121.2706,239600.00,5900.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2454143.2374,274500.00,4000.00,"Okayama Astrophysical Observatory (OAO), Japan",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",HIDES,Iodine,Wright,,,,,,,,
2453420.2939,195400.00,33500.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453422.2517,126700.00,36200.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453422.2627,112000.00,33100.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453511.0423,281900.00,29900.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453514.0647,249400.00,25600.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453514.0779,304800.00,20600.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453775.2678,243100.00,30600.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453778.3433,220600.00,30300.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
2453839.1013,229100.00,36600.00,"Xinglong Station, China",11 Com,JD,"Liu et al. 2008 (ApJ, 672, 553)",CES,Iodine,Wright,,,,,,,,
