Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453051.708713,-31.26,6.99,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453123.534122,82.88,4.25,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453124.544363,83.15,5.07,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453128.572537,107.73,5.18,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453189.537754,153.60,4.77,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453234.499843,144.65,7.14,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453238.357596,144.09,6.15,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453301.421510,88.40,4.84,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453302.506490,88.82,12.63,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453303.341835,109.82,8.05,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453425.520312,-143.80,6.56,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453454.631345,-167.70,4.87,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453460.388104,-199.74,5.17,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453461.524772,-176.39,4.14,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453476.501768,-219.40,3.85,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453481.518826,-250.38,5.30,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453482.527922,-209.20,4.60,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453483.461198,-196.00,4.69,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453484.469635,-203.42,3.77,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453515.520600,-180.40,4.12,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453637.321156,39.76,6.49,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453638.391730,81.02,5.21,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453654.389332,150.52,4.69,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453655.379064,95.81,4.60,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453655.596210,115.84,4.93,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453656.401390,41.84,4.94,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453656.405661,42.25,4.67,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453657.375775,163.34,4.76,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453657.599842,127.62,5.87,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453840.454520,45.65,4.38,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453840.532516,37.43,4.15,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453861.463582,-38.92,6.01,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453863.407248,-8.10,6.53,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453899.479327,-148.17,5.69,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453900.444086,-138.29,5.57,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453901.507084,-150.42,5.15,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453904.470771,-101.95,7.05,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453905.494222,-173.77,6.25,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453905.537161,-167.79,5.26,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2453995.331026,-197.52,6.12,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454041.272281,-150.44,5.11,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454047.246242,-151.41,6.31,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454096.225428,-48.05,5.95,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454099.228459,-24.55,5.54,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454099.232683,-21.52,4.90,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454136.425278,13.29,6.38,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454138.554149,48.35,11.19,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454155.590866,69.29,5.74,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454170.642896,67.17,5.21,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454171.669516,129.17,4.88,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454192.593610,95.70,4.19,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454278.472906,189.91,4.00,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454309.397450,119.08,5.57,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454309.401744,111.43,8.14,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454330.340189,107.54,5.71,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454337.321286,42.06,5.43,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454338.344381,88.30,6.59,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
2454338.545262,59.28,7.98,"Thuringer Landessternwarte Tautenburg (TLS), Germany",11 UMi,JD,"Dollinger et al. 2009 (A&A, 505, 1311)",Alfred Jensch coude spectrograph,Iodine,Wright,,,,,,,,
