Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453005.9546,30.2,8.6,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453245.2465,96.8,5.7,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453332.0661,-106.7,4.0,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453579.1759,45.6,6.2,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453599.3078,104.9,9.3,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453607.1357,127.2,6.6,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453635.2106,68.1,6.2,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453656.1741,-18.8,5.5,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453693.0493,-93.2,4.3,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453719.9577,-81.8,7.2,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453726.0131,-1.1,7.0,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453742.9362,-11.9,7.6,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453775.9237,76.3,4.6,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453938.2816,44.6,5.9,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453962.2592,102.7,5.2,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453975.1040,97.1,6.2,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454018.0820,5.3,5.6,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454049.1049,-52.6,5.5,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454089.0127,-111.9,5.2,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454104.8910,-38.6,7.3,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454115.8872,-2.1,5.4,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454142.9051,64.0,4.4,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454219.2924,-70.8,4.6,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454254.2487,-82.1,13.1,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454305.1747,31.6,5.5,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454338.1549,113.3,6.3,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454349.1366,83.9,4.9,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454378.1594,60.7,5.9,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454384.0522,38.0,6.0,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454415.9392,-55.8,5.0,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454419.9316,-55.5,6.3,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454460.0025,-92.7,10.1,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454466.9496,-59.7,5.7,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2454491.8965,-4.1,7.6,Okayama Astrophysical Observatory (OAO),14 And,BJD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
