Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2450605.9115,-83.2,2.1,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2450862.1412,-43.1,2.2,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2450956.0369,-29.2,2.3,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451009.8790,-7.3,2.5,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451069.7490,10.3,2.1,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451073.8392,14.2,2.8,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451173.1752,48.7,2.3,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451200.1776,56.6,2.1,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451227.1375,65.1,2.0,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451310.9956,91.8,2.3,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451314.0771,91.7,2.4,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451340.9326,92.1,1.0,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451367.8354,83.6,2.3,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451373.9145,83.7,2.4,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451409.8196,71.6,2.4,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451410.7740,65.8,2.2,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451411.7784,68.8,2.0,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451438.7136,52.9,2.4,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
2451581.1600,-15.3,2.2,"Mauna Kea, Hawaii",14 Her,BJD,"Butler et al. 2003 (ApJ, 582, 455)",HIRES,Iodine,Wright,,,,,,,,
