Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2446957.926000,15.,16.,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2447046.772101,8.5,6.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2447846.675000,10.5,8.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2448019.952832,59.,12.,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2448113.822600,54.,10.,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2448438.871871,-8.6,9.2,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2448846.873950,47.2,8.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2448906.700000,50.,10.,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449124.985924,-34.1,8.0,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449172.908855,-15.9,4.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449200.876100,-35.8,9.0,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449588.741971,24.7,7.7,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449601.766802,13.6,7.0,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449623.726100,31.9,9.2,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449858.984716,-38.9,6.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449892.967399,-16.5,5.6,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2449914.966829,-19.0,4.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450069.577060,-5.3,9.7,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450072.574248,-11.2,5.2,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450073.597221,-15.3,3.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450089.593623,-10.1,5.7,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450182.003704,-1.9,4.2,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450202.005127,10.7,8.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450203.964771,2.3,6.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450215.931863,6.2,5.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450231.920995,7.,15.,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450235.987998,3.4,9.0,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450262.903137,5.0,4.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450288.758067,17.9,4.7,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450298.786931,22.8,3.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450299.948430,18.6,3.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450300.728848,13.4,2.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450300.936562,11.5,3.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450304.677128,24.0,3.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450304.951443,23.3,3.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450305.753944,21.8,4.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450307.794777,28.6,4.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450309.800409,30.4,3.6,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450311.771854,18.7,3.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450326.772047,12.1,3.0,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450372.683780,29.9,4.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450377.700705,30.6,4.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450441.589200,41.1,5.0,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450504.078183,65.,10.,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450505.065752,57.4,5.6,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450537.014496,16.3,5.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450538.000186,16.7,6.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450550.997574,-11.3,4.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450563.009393,-31.6,7.7,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450563.978120,-44.8,4.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450578.965201,-46.3,4.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450579.922520,-43.8,5.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450610.993241,-58.5,7.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450611.981053,-57.,10.,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450640.920266,-33.4,4.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450645.965764,-31.2,4.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450655.941551,-40.3,6.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450681.934468,-33.1,5.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450767.625348,-33.3,5.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450976.947124,-7.2,7.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2450978.954603,0.8,6.2,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451026.812627,-1.6,6.7,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451044.843750,9.3,7.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451048.811053,8.2,8.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451100.722546,12.5,7.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451306.004248,47.5,6.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451337.953715,11.9,9.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451351.903887,-28.0,7.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451352.868653,-25.1,5.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451362.902442,-43.6,6.6,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451363.934363,-45.1,6.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451364.884271,-41.7,5.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451378.867613,-43.6,5.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451386.805193,-50.3,5.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451391.858505,-44.2,5.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451403.790546,-38.3,5.7,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451416.685451,-49.1,5.4,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451445.666296,-42.0,6.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451700.916186,-8.3,6.2,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451750.788403,0.2,5.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451805.708137,4.7,6.8,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451814.696985,3.5,5.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2451822.693290,0.1,5.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2452076.876539,43.8,6.3,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2452085.922500,40.2,5.9,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2452141.852656,2.8,5.1,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
2452144.805043,-11.4,5.5,"Lick Observatory, California",16 Cyg B,BJD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,
