Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452489.1422,0.8,5.5,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2452507.1266,-22.4,5.7,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2452541.1260,-56.1,5.5,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2452857.1356,-46.5,6.1,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2452896.0403,-2.9,6.4,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2452927.0518,-9.1,5.2,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2452974.9012,31.4,5.5,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2452994.8978,44.1,4.5,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453005.8960,33.2,8.5,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453008.8873,30.6,6.5,"Okayama Astrophysical Observatory (OAO), Japan",18 Del,BJD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
