Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454806.150000,-22.03,1.98,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454807.075000,-18.78,1.83,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454808.057000,-13.83,1.96,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454809.069000,-21.81,1.88,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454810.149000,-15.43,1.88,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454811.122000,-12.80,1.65,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454847.038000,3.99,1.80,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454929.814000,59.40,1.63,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454955.878000,69.74,1.60,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454963.915000,68.12,1.49,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454983.770000,64.81,1.59,"Manua Kea, Hawaii",24 Sextanis,JD-UTC,"Johnson et al. 2010 (arXiv, 1007, 4552)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
