Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455575.847975,57.656,66.477,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455579.871493,-66.280,82.903,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455585.873275,-59.812,75.342,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455586.891817,10.133,85.488,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455604.820035,16.913,75.504,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455605.757975,-107.072,85.572,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455606.768333,-118.450,97.126,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455614.824780,127.738,94.737,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455615.824757,66.639,106.836,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455640.728542,32.754,96.980,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455641.727500,81.347,90.735,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455666.618912,107.122,79.569,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455667.621447,-1.367,94.656,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455668.618113,44.478,104.425,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455873.002662,16.530,100.968,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455876.998981,372.146,139.301,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455904.915972,-47.978,91.613,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455905.901389,52.790,74.368,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455905.948565,105.925,109.264,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455928.820602,-18.603,68.299,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455932.863750,-124.615,96.083,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455938.821204,-128.671,132.102,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455958.770197,55.633,103.988,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455959.769525,-124.313,,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
2455965.811100,-109.011,88.048,"Apache Point Observatory, New Mexico",2MASS J07343908+2220156,FCJD,"Thomas et al. 2016 (PASP, 128, 5003)",MARVELS,Tungsten Iodine Lamp,Wright,,,,,,,,
