Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453128.419501,-53.2293,3.9,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453192.524517,-114.8587,4.12,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453193.403201,-126.0224,3.31,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453238.410453,-61.4688,2.84,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453301.329173,50.4884,3.96,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453302.522409,67.6217,5.92,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453303.416619,49.0516,4.46,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453304.252831,59.8095,3.59,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453304.257380,66.2191,6.6,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453419.712262,79.7443,3.23,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453460.616950,98.9271,3.98,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453461.636258,100.0269,3.48,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453476.524540,44.9801,2.88,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453481.567590,66.8865,4.16,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453482.574098,80.2309,4.36,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453483.509160,86.7844,3.04,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453484.527265,29.8126,3.88,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453637.327828,-88.0594,3.52,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453654.447141,-40.0147,4.13,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453655.432914,-59.9776,3.36,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453655.606802,-41.1324,4.49,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453656.461186,-74.5463,3.53,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453656.620815,-65.0586,3.79,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453657.433509,-72.234,3.77,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453657.609979,-66.5591,4.84,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453840.546573,88.7195,3.29,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453899.530210,64.288,5.17,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453900.481314,88.1803,5.82,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453901.570729,91.9168,4.53,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453904.502606,116.6142,5.73,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
2453905.551268,129.6684,5.48,"Thuringer Landessternwarte Tautenburg (TLS), Germany",42 Dra,JD,"Doellinger et al. 2009 (A&A, 499, 935)",coude echelle spectrograph,Iodine,Wright,,,,,,,,
