Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2446959.737,-60.48,14.00,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2447194.912,-53.60,7.49,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2447223.798,-38.36,6.14,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2447964.893,0.60,8.19,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2448017.730,-28.29,10.57,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2448374.771,-40.25,9.37,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2448647.897,42.37,11.41,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2448648.910,32.64,11.02,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2448670.878,55.45,11.45,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2448745.691,51.78,8.76,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2448992.061,4.49,11.21,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2449067.771,-14.63,7.00,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2449096.734,-26.06,6.79,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2449122.691,-47.38,7.91,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
2449172.686,-38.22,10.55,"Lick Observatory, California",47 UMa,JD,"Fischer et al. 2002 (ApJ, 564, 1028)",Hamilton,Iodine,Wright,,,,,,,,
