Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
12219.138,-100.02,1.1,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12236.015,-17.49,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12243.051,-10.93,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12307.850,-63.90,1.3,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12333.998,-95.14,1.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12334.893,-97.07,1.3,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12573.113,-21.26,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12574.129,-3.16,1.3,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12576.098,33.25,1.4,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12601.031,-43.32,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12602.059,-16.34,1.3,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12603.114,16.66,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12652.973,-30.59,1.4,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12654.039,-56.44,1.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12680.970,12.03,1.3,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12682.951,-40.90,1.4,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12711.767,-35.14,1.4,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12712.826,-63.24,1.4,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12777.806,-8.69,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12804.745,-83.76,1.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
12988.038,36.68,1.3,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13017.861,24.30,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13045.782,65.13,1.2,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13077.042,23.19,1.4,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13339.044,73.35,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13369.916,29.34,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13425.843,68.86,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13480.821,-7.05,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13546.764,8.19,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13547.741,-31.70,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13692.982,15.81,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13693.078,18.46,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13694.081,-2.29,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13695.050,-38.22,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13696.026,-53.52,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13697.109,-61.26,0.8,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13724.055,-39.49,0.4,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13724.995,-53.41,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13747.026,83.06,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13747.958,93.83,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13748.924,86.91,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13749.859,83.05,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13750.865,66.56,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13751.931,22.59,0.9,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13752.973,4.51,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13753.944,-30.54,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13775.922,63.46,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13776.940,70.26,0.7,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13778.020,86.25,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13806.890,90.76,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13837.810,92.78,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
13841.801,-23.39,0.6,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
14083.982,83.79,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
14084.907,96.88,0.5,"Mauna Kea, Hawaii",55 Cnc,JD,"Fischer et al. 2008 (ApJ, 675, 790)",HIRES,Iodine,Wright,,,,,,,,
