Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453028.2002,0.2,5.0,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453107.9650,9.8,4.7,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453290.2429,52.4,7.5,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453307.1619,37.2,4.5,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453363.3240,29.1,6.1,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453448.0390,-15.3,6.3,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453467.9581,-15.9,9.8,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453494.9817,-0.8,10.3,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453659.2879,-27.4,5.7,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453694.3102,-24.2,6.2,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
2453729.1980,-26.1,6.9,"Okayama Astrophysical Observatory (OAO), Japan",6 Lyn,JD,"Sato et al. 2008 (PASJ, 60, 1317)",HIDES,Iodine,Wright,,,,,,,,
