Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2444655.009,46.7,18.0,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444687.010,125.6,26.6,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444687.976,35.6,14.4,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444745.922,-8.9,22.3,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444753.859,41.0,18.7,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444770.754,22.2,28.7,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444958.153,22.4,10.4,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445148.800,-2.1,12.4,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445458.915,15.5,14.2,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445713.117,-30.0,13.4,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445809.917,-20.1,10.3,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445810.915,-10.0,8.4,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445864.876,-33.8,11.2,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446216.858,-15.4,8.6,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446216.897,-25.9,11.7,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446395.143,-16.7,11.1,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446538.003,13.4,9.9,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446603.880,2.8,8.2,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446604.833,4.7,6.5,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446633.770,-23.8,6.5,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446785.133,8.8,8.9,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2446786.106,4.9,9.3,"Mauna Kea, Hawaii",61 Vir,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",CFHT coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
