Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452311.964000,-39.60,5.90,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452507.256070,16.00,3.90,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452541.263020,33.20,3.70,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452655.945960,21.40,3.60,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452677.013850,5.70,6.20,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452888.234590,-50.10,4.00,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452896.197150,-48.40,3.40,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452923.207900,-48.60,4.60,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452974.176980,-42.90,4.90,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452999.960070,-23.70,3.70,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453023.901130,-25.30,3.10,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453051.920080,-31.60,3.90,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453214.274200,22.50,5.00,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453246.324410,18.00,4.70,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453284.205140,26.40,4.40,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453306.141110,20.20,3.50,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453311.154410,28.60,3.40,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453332.086300,36.60,3.50,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453339.200210,43.50,4.10,"Okayama Astrophysical Observatory, Japan",75 Cet,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
