Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2450462.113958,-0.9,3.0,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2450546.987859,-2.9,3.1,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2450837.932535,-1.6,3.1,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2450862.898993,-5.8,3.1,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2450955.876644,-5.4,2.5,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451172.101597,0.5,3.2,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451228.035903,-7.7,3.0,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451311.816319,5.1,3.2,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451544.172650,-5.7,2.7,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451582.974942,0.7,2.7,"Mauna Kea, Hawaii",83 Leo B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
