Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453546.31624,64.3,5.9,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453547.31606,50.8,7.4,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453551.30403,51.9,4.9,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453591.20234,-30.9,9.3,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453593.19739,-13.5,8.1,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453664.17558,-6.3,4.2,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453868.43413,-47.9,6.1,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453880.40891,-38.9,5.3,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453893.36620,-35.4,7.2,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453924.28339,-20.4,9.0,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453934.43859,-23.2,5.2,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453936.43783,-27.9,7.7,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453955.20445,11.5,10.7,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453969.34923,-10.2,8.8,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2453996.26966,25.9,9.5,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2454029.18670,49.8,6.8,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2454041.14676,44.8,8.4,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2454221.46062,-11.8,6.4,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
2454248.39565,12.0,5.9,"McDonald Observatory, Texas",BD +14 4559,MJD,"Niedzielski et al. 2009 (ApJ, 707, 768)",HRS,Iodine,Wright,,,,,,,,
