Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452943.610509,3035.85,2.58,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2453295.753206,3048.76,1.74,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2453945.903440,3076.11,1.11,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2453946.823277,3067.12,1.41,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2453951.864680,3040.30,2.52,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2453979.874025,2885.51,1.94,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454082.599768,2900.11,1.74,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454084.574580,2907.35,1.92,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454346.836046,3078.82,1.07,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454349.792760,3076.41,1.32,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454427.598625,3122.06,1.49,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454430.603057,3125.02,1.40,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454437.605063,3128.20,1.37,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454446.614295,3134.80,1.64,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454478.592373,3147.47,1.55,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454486.529176,3144.68,1.74,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454609.910593,3035.12,1.55,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454637.911547,2857.40,1.36,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454641.924906,2853.39,1.15,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454646.887252,2835.17,1.30,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454657.823636,2822.95,1.01,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454670.790307,2813.36,1.39,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454672.838582,2817.70,1.83,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454698.807055,2846.64,1.49,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454701.823517,2852.11,1.77,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2454703.858883,2850.25,1.62,"La Silla Observatory, Chile",BD -17 0063,JD,"Moutou et al. 2009 (A&A, 496, 513)",HARPS,Thorium Argon,Wright,,,,,,,,
2452943.611,3037.638,2.246,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.593829328,0.002104547,6.289385043,0.025084365,39.3,246.696,,-17.65557743
2453295.754,3051.902,1.67,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.599047611,0.001791168,6.321055273,0.024366366,47.2,238.2013,,-12.35749551
2453945.904,3078.076,0.919,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.59152231,0.00118166,6.315051352,0.035640919,72.3,309.1002,,22.36439237
2453946.824,3068.713,1.467,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.597141003,0.001497239,6.318947912,0.037324394,57.0,432.7018,,22.29108224
2453951.865,3042.341,2.525,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.589544095,0.002642697,6.292330517,0.014279882,33.5,370.9016,,20.63044337
2453979.875,2887.997,1.782,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.595411933,0.001920173,6.313403859,0.026940992,44.0,393.3003,,9.562173068
2454082.6,2902.002,1.765,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.578411422,0.001789023,6.298934429,0.025819295,47.3,309.599,,-28.73758912
2454084.575,2906.881,1.974,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.579947252,0.001980076,6.295286494,0.028006804,43.0,309.1008,,-28.8429981
2454346.837,3079.312,1.063,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.593306561,0.00106614,6.286098929,0.018979205,79.5,899.9996,,8.88621415
2454349.793,3077.878,1.359,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.592567634,0.001435608,6.269792989,0.027590181,60.2,305.1001,,7.621333459
2454427.599,3123.071,1.345,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.586326977,0.001568879,6.281442761,0.018020774,54.4,309.1012,,-25.25627565
2454430.604,3126.277,1.444,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.590862737,0.001431019,6.2911992,0.023488869,58.9,309.101,,-25.99034138
2454437.606,3128.881,1.424,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.585823945,0.001386283,6.299511091,0.026803514,60.2,614.9,,-27.42321968
2454446.615,3135.424,1.623,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.587396553,0.001669928,6.284233288,0.026772739,50.8,309.1,,-28.6667476
2454478.593,3148.582,1.545,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.594383593,0.001490639,6.299684631,0.029834277,55.5,463.6,,-27.10036521
2454486.53,3145.286,1.723,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.584498836,0.001714076,6.276286933,0.021198807,49.2,309.1,,-25.26585763
2454609.911,3034.592,1.584,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.594824502,0.001619907,6.303441839,0.033384536,53.3,370.9,,25.01210401
2454637.912,2860.257,1.413,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.596087216,0.001417294,6.284447113,0.015229165,60.5,618.2,,28.03911817
2454641.926,2855.45,0.999,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.591208973,0.001218807,6.286323703,0.018353128,70.6,800.0,,27.94556237
2454646.888,2836.786,1.215,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.597552104,0.001401323,6.289728329,0.026358089,61.9,463.6,,27.78668499
2454657.824,2825.024,1.192,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.589111337,0.001041215,6.308092028,0.023035401,82.5,900.0,,26.67222576
2454670.791,2816.051,1.442,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.601813896,0.001464132,6.293734137,0.013592045,59.0,681.1,,24.12944673
2454672.839,2820.376,1.674,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.60090951,0.001986704,6.291775862,0.011145272,44.5,207.9,,23.50480893
2454698.808,2848.92,1.566,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.595258296,0.001675162,6.295095746,0.023555714,52.6,370.9,,14.73379595
2454701.824,2852.355,1.655,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.596141291,0.001847864,6.302120077,0.031261554,46.9,309.1,,13.44637345
2454703.86,2851.43,1.624,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.594446971,0.001786719,6.285991616,0.017895015,49.6,309.1,,12.49833076
2454715.825,2884.223,1.479,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.595841042,0.001501125,6.328710036,0.030306825,57.5,900.0,,7.165379322
2456169.796,2975.732,1.396,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.593230966,0.001446979,7.185462983,-0.015320173,62.0,552.5001,,10.49005783
2456912.768,3049.006,1.153,"La Silla Observatory, Chile",HIP2247,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.594228404,0.000917504,6.292228404,0.017821857,96.5,900.0007,,4.76676135
