Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455932.841253,-34.70,18.60,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455933.821938,67.30,23.90,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455934.857994,48.00,21.80,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455939.945964,-42.60,20.20,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455941.020182,-49.50,27.00,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455957.905296,-8.20,21.40,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455958.785164,-29.30,20.10,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455959.818953,0.00,12.00,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455960.759119,30.10,17.00,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455970.971372,-18.70,24.60,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455971.796286,-51.70,42.50,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455972.970059,13.50,29.80,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455981.771272,8.60,23.50,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455982.697156,87.50,15.90,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455984.894042,-90.50,18.90,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455986.805010,27.00,19.60,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",Pr 201,BJD-UTC,"Quinn et al. 2012 (2012, ApJ, 756L, 33)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
