Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452776.997254,30.50,8.80,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452776.998932,19.10,9.30,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452779.975062,46.20,13.10,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452779.979240,48.80,20.80,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452779.985258,27.10,23.20,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452780.979924,37.20,10.60,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452780.981672,43.50,8.70,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452780.983315,35.70,9.70,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452949.319857,76.60,7.00,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452949.322815,81.10,6.30,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452950.314238,86.80,5.80,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
2452950.317479,83.90,6.60,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Beta Gem,JD,"Han et al. 2008 (JKAS, 41, 59)",BOES,Iodine,Wright,,,,,,,,
