Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454186.639,4550.191,4.032,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.189959505,0.006616029,78.70015769,3.933622734,27.9,599.9981,,1.904175274
2454186.645,7250.311,6.779,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.144469423,0.009849033,2.938604936,102.8524221,17.7,299.9956,,1.886892798
2454190.648,2577.559,3.144,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.130868023,0.005644115,7.097730712,0.077145973,32.7,599.9953,,0.160962723
2454191.575,2127.061,3.44,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.174758494,0.005948841,1.563812725,2.555994647,30.9,599.9997,,-0.090110563
2454192.53,23.628,4.018,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,2.993678019,0.006278286,9.807502879,17.46066848,27.8,599.9973,,-0.422812266
2454193.54,3150.553,4.283,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.36842072,0.007368566,9.005267884,0.0,25.8,599.9997,,-0.86942268
2454193.588,4404.964,4.246,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.335922102,0.007496993,7.936920504,-0.659842457,25.4,600.0003,,-0.974690518
2454193.786,2145.75,4.053,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.155823564,0.006474324,9.929743334,1.472584853,28.1,599.9994,,-1.439977669
2454203.579,-26.843,2.478,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.098014023,0.004755514,12.75830273,-2.141991997,39.6,599.9987,,-5.180876278
2454237.557,-4961.424,5.691,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.003197645,0.007773672,1.784974251,0.642171839,22.4,599.9957,,-17.49731815
2454246.509,-5702.328,4.411,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.134467274,0.006632236,11.56486406,-0.642634645,26.7,599.9946,,-19.78876548
2454246.71,-6887.575,13.489,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.427422378,0.016298809,2.713069078,0.053613607,10.7,599.9962,,-20.14908737
2454247.493,-3774.667,3.741,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.292127419,0.006382213,5.11381742,-0.210836165,29.7,599.9971,,-19.98922139
2454247.721,-8015.472,7.954,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,2.942549765,0.009442001,0.904866636,-5.697020573,16.8,599.9969,,-20.38931601
2454310.475,-2691.384,3.981,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.549824587,0.006615762,9.388749851,-1.047910903,29.3,600.0005,,-21.97607245
2454312.51,-3827.874,7.542,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,3.287369767,0.010141242,8.407421669,-2248088.328,17.4,599.9997,,-21.63764468
2454313.476,-2223.682,2.702,La Silla Observatory,CD-337795B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,2.956158305,0.004425048,-0.822264705,0.125843393,39.6,1200.0006,,-21.41991846
