Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454514.32514,31144.40,9.50,"Observatoire de Haute Provence (OHP), France",CoRoT-7,JD,"Leger et al. 2009 (A&A, 506, 287)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454517.40230,31139.20,7.30,"Observatoire de Haute Provence (OHP), France",CoRoT-7,JD,"Leger et al. 2009 (A&A, 506, 287)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454527.543878,31181.80,1.50,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454530.604318,31173.20,1.50,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454550.503296,31197.20,2.10,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454775.819119,31188.10,2.20,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454776.758450,31184.80,2.80,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454777.761675,31181.70,2.00,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454778.754586,31173.40,1.60,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454779.750679,31175.00,2.20,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454780.754792,31180.50,2.60,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454789.829872,31187.80,1.60,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454790.802989,31191.40,2.10,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454791.810991,31199.00,1.90,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454792.809988,31193.30,1.80,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454793.827734,31185.50,1.80,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454794.800626,31190.10,1.70,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454795.809029,31183.50,2.20,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454796.836494,31175.60,1.70,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
2454797.803411,31178.70,1.70,"ESO La Silla, Chile",CoRoT-7,JD,"Queloz et al. 2009 (A&A, 506, 303)",HARPS,Thorium Argon,Wright,,,,,,,,
