Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2451410.0215,38.9,2.0,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2451439.8654,35.3,2.0,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452095.0814,1.5,2.6,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452096.0458,-1.4,2.2,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452133.0128,-20.2,3.3,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452160.9092,-7.6,2.1,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452161.8459,-7.5,2.1,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452162.8870,-2.9,2.3,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452535.8516,-19.3,2.2,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452807.0106,-12.0,2.4,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452834.0130,-10.9,2.1,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
2452989.7201,-1.7,2.6,"Mauna Kea, Hawaii",GJ 849,JD,"Butler et al. 2006 (PASP, 118, 1685)",HIRES,Iodine,Wright,,,,,,,,
