Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453139.562,853.801,3.273,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.494873361,0.000222199,6.913434566,-0.035877018,349.1,30.0007,,2.644794218
2453139.564,855.787,3.276,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.494987087,0.000194396,6.917914681,-0.035387817,397.6,29.9969,,2.641905696
2453139.58,-153.747,0.911,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.42182282,0.000197083,7.481756049,-0.015512288,372.2,4.9963,,2.619895403
2453139.581,-155.22,0.914,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421882496,0.000210459,7.479849138,-0.016232945,347.5,4.9967,,2.619292983
2453139.581,-154.229,0.914,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.422058214,0.00021558,7.47822753,-0.016399573,342.8,4.9962,,2.618703282
2453139.581,-157.496,0.912,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421918987,0.000203024,7.483762884,-0.014859558,358.7,4.9955,,2.618114718
2453139.582,-157.309,0.914,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421588889,0.000211063,7.47974092,-0.014958105,345.3,5.0005,,2.617458208
2453139.582,-156.127,0.912,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421527987,0.000197834,7.480792992,-0.015371664,367.5,5.0003,,2.616791068
2453139.583,-157.477,0.911,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421785765,0.000195152,7.483843044,-0.015492994,375.1,5.0014,,2.616123054
2453139.583,-157.607,0.915,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.42146671,0.000209907,7.482866262,-0.015157891,345.8,5.0002,,2.615445843
2453139.584,-155.648,0.912,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.422140828,0.000206684,7.480611049,-0.0143566,355.8,5.0001,,2.614722444
2453139.584,-154.9,0.91,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421617044,0.000187345,7.482299513,-0.015326131,390.5,4.9957,,2.614003254
2453139.585,-153.611,0.91,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.422058189,0.000192927,7.481810993,-0.015689432,383.1,5.0003,,2.613318748
2453139.585,-154.923,0.915,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421907192,0.000218686,7.47553128,-0.015144313,339.2,5.0001,,2.61258556
2453139.586,-154.988,0.909,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421598777,0.000187199,7.482756788,-0.015959177,391.5,5.0013,,2.611865122
2453139.586,-156.429,0.91,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421348572,0.00018591,7.479820453,-0.014239235,397.1,5.0007,,2.611125432
2453139.587,-158.347,0.913,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421256617,0.000200193,7.482976901,-0.015694236,361.7,4.9951,,2.609656409
2453139.588,-156.471,0.912,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421471786,0.000207025,7.478869283,-0.015221712,357.0,5.0001,,2.608866875
2453139.588,-156.343,0.911,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421638538,0.000188223,7.483010089,-0.015183323,387.3,4.9954,,2.608145208
2453139.589,-156.085,0.909,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421320495,0.000183527,7.482887587,-0.015411847,398.5,4.9954,,2.606911328
2453139.59,-155.675,0.912,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421831422,0.000200821,7.482220966,-0.015580134,364.5,5.0011,,2.606217688
2453139.591,-157.659,0.912,"La Silla Observatory, Chile",GJ559A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.421812764,0.000189757,7.484603436,-0.016116083,382.4,4.9952,,2.604127743
