Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453261.492,146084116.3,,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.494253137,0.000468797,27.80320338,0.0,169.1,7.9814,,-20.40160705
2453261.492,146081154.8,,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.493869653,0.000492861,21.45985169,0.0,159.8,7.9774,,-20.40184076
2453261.493,146082185.6,,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.494166321,0.000489623,40.75429137,0.0,160.0,7.9824,,-20.40206445
2453413.841,-21800.486,1.01,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.495680119,0.000175689,6.259026789,0.011083752,441.7,20.0011,,22.15661149
2453413.845,-21799.626,1.011,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.4955671,0.000193383,6.256158164,0.011943258,406.0,10.0001,,22.1521996
2453413.845,-21800.319,1.011,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.496013456,0.000192296,6.256306194,0.010445227,405.1,10.0008,,22.15167702
2453413.846,-21800.312,1.011,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.49612993,0.000197556,6.25688771,0.010293129,397.1,10.0004,,22.15112538
2453429.738,-21811.43,1.015,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.492849636,0.000259865,6.906645064,-0.032759048,309.2,40.0013,,21.96999843
2453429.739,-21814.699,1.067,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.493352473,0.000604868,6.9070857,-0.037147026,134.8,40.0013,,21.96925134
2453537.775,-21852.332,1.038,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.49682155,0.000397389,6.247377797,0.006241206,194.9,9.9818,,-9.446069812
2453537.776,-21851.224,1.041,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.49706061,0.000419185,6.249276656,0.00587267,185.5,9.982,,-9.446461283
2453537.776,-21851.922,1.043,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.498775029,0.000418577,6.248471101,0.00513516,184.6,9.983,,-9.446796598
2453600.488,-21896.302,1.018,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.495337064,0.00027117,6.880650843,-0.036008698,289.3,9.9995,,-21.7054217
2453600.488,-21896.551,1.031,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.495537218,0.000395235,6.886940683,-0.036015494,206.5,10.0009,,-21.70595892
2453600.488,-21896.173,1.028,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.495031245,0.000364326,6.886745681,-0.036370349,221.5,10.0011,,-21.706481
2453744.868,-21953.055,1.45,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.497323633,0.000219924,6.23511261,0.005634961,354.7,10.0011,,17.05216349
2453744.868,-21952.669,1.449,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.497136326,0.000207305,6.235416371,0.005286622,373.7,9.9997,,17.05187878
2453744.869,-21952.923,1.448,"La Silla Observatory, Chile",GJ559B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.497344065,0.000198685,6.234470687,0.00611144,395.1,10.0001,,17.05158121
