Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452986.806,-9.223,1.829,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.990028459,0.004006912,2.958550228,-0.002995405,18.1,899.996,,17.88166346
2453345.783,-5.75,1.393,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.967615089,0.00275552,2.943991455,-0.002822538,27.5,899.9827,,19.46180232
2453815.608,-5.673,1.515,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.992484455,0.002854529,2.945675826,-0.014384054,27.3,900.0006,,-16.92912043
2454568.507,14.678,1.177,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.973124907,0.002444588,2.951093478,-0.007676643,32.6,900.0,,-21.28492102
2454759.881,7.085,1.273,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.951869547,0.002377803,2.944872975,-0.011473688,33.0,900.0,,22.34572839
2454761.865,-7.624,1.54,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,1.176063892,0.00330757,2.949247083,-0.003742678,26.3,900.0,,22.55506011
2454765.862,-3.09,1.445,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.984955654,0.003062954,2.953265789,-0.012554909,25.6,900.0,,22.84018267
2454767.873,3.87,1.492,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,1.035368166,0.002974208,2.942936376,-0.014485724,27.6,900.0,,22.91378971
2454776.878,0.104,1.536,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.981162522,0.002900855,2.951196075,-0.005741475,27.1,900.0,,22.97309646
2454780.864,-4.77,1.687,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.972504774,0.003248303,2.951688331,-0.011725859,23.9,900.0,,22.85269756
2454803.86,-3.923,1.528,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.966474289,0.002871016,2.945140245,-0.006283663,27.4,900.0,,19.90410256
2454826.796,7.533,1.363,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,1.001671183,0.002565465,2.957006081,-0.005782511,32.2,900.0,,13.85985998
2454827.821,-4.55,1.608,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.985262037,0.003131956,2.95647168,-0.002600219,25.7,900.0,,13.46027177
2454828.795,-2.473,1.465,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,1.011291137,0.002794093,2.949994267,0.001126288,29.1,900.0,,13.19395298
2454830.835,-1.906,1.53,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.998946768,0.003159655,2.959854846,-0.001210122,25.7,900.0,,12.40260958
2454833.812,3.239,1.238,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.995102864,0.002583232,2.956531461,-0.008120411,31.6,900.0,,11.40507338
2454913.635,0.609,1.335,La Silla Observatory,GJ300,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,1.005575486,0.002579647,2.947349824,-0.007398633,31.4,900.0,,-17.59292838
