Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455983.917,32981.575,0.653,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430819011,0.000370809,7.115564536,-0.010577691,203.6,249.9937,,25.55045761
2455983.921,32982.444,0.702,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433620042,0.000483557,7.13216338,-0.013805396,160.1,249.9939,,25.54519643
2455983.924,32979.191,0.636,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433065286,0.000392846,7.146908567,-0.015156236,205.3,249.994,,25.53921466
2455984.897,32992.267,0.63,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.43604738,0.000434226,7.129581606,0.002452058,186.1,249.9941,,25.49721427
2455984.901,32991.438,0.624,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436033696,0.000423608,7.12917365,0.00223953,191.1,249.9996,,25.49151627
2455984.904,32991.118,0.627,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435779912,0.000443955,7.131143016,0.001954684,183.7,249.9997,,25.48576984
2455985.894,32990.962,0.698,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.434685608,0.000389075,7.128947333,0.000716864,205.5,249.9999,,25.40758856
2455985.897,32987.489,0.692,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433845805,0.00037294,7.127105268,0.001774352,214.6,249.9997,,25.40180176
2455985.9,32989.794,0.688,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433016513,0.000361739,7.126004872,-0.000259358,221.0,249.9941,,25.39606953
2456042.696,32928.388,1.084,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.42860894,0.000461305,7.123809674,-0.003506859,167.0,249.9999,,9.911216781
2456042.7,32928.134,1.08,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.428830508,0.00045062,7.123005171,-0.000276113,171.4,250.0,,9.904305628
2456042.703,32926.384,1.077,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.429152658,0.000439593,7.122320736,-0.00193129,175.6,250.0,,9.897837565
2456042.707,32926.427,1.076,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430038758,0.000438131,7.122797354,-0.001477419,176.4,249.9941,,9.889438785
2456042.71,32929.264,1.076,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.428647114,0.000436306,7.12432311,-0.000718668,176.9,249.994,,9.882520314
2456042.713,32925.733,1.076,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.429140609,0.00043742,7.122398161,-0.002707618,176.5,250.0056,,9.875991996
2456046.776,32923.88,1.092,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430805412,0.000476684,7.122733957,-0.007074852,161.3,249.9998,,8.082575805
2456046.78,32925.315,1.101,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430322312,0.000507125,7.122430904,-0.003799756,151.9,249.9939,,8.076133288
2456046.783,32924.057,1.111,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430254202,0.000532758,7.123797822,-0.002700525,144.6,250.0054,,8.069564387
2456047.805,32924.498,1.105,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431470239,0.000517473,7.121816898,-0.00247487,149.0,249.994,,7.607231055
2456047.808,32922.716,1.081,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431198333,0.000450141,7.117951246,-0.006513347,172.6,249.994,,7.601248332
2456047.812,32924.464,1.077,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431749896,0.000444164,7.118286845,-0.004163746,175.9,250.0,,7.595384826
2456048.83,32914.676,0.867,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431060151,0.000425438,7.111601873,-0.008037638,179.3,250.0057,,7.141922084
2456048.833,32915.03,0.856,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431723377,0.00040337,7.11287759,-0.007056854,189.7,249.9998,,7.136443277
2456048.837,32916.871,0.878,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431488948,0.000460729,7.117042352,-0.006775196,166.3,250.0055,,7.131154551
2456165.482,32808.8,0.972,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430749102,0.000364186,7.123510994,-0.002902465,212.4,250.0001,,-25.35629701
2456165.485,32809.191,0.969,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430519517,0.000351255,7.120760148,-0.00427761,219.4,250.0004,,-25.36068743
2456165.488,32809.074,0.974,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430752173,0.000371248,7.123164621,0.001215941,208.2,250.0003,,-25.36491947
2456299.842,32662.366,0.784,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430581002,0.000664664,7.12793535,-0.001345969,120.5,250.0011,,20.20738587
2456299.845,32660.869,0.759,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430210981,0.000623074,7.126607063,-0.003498315,129.0,250.0012,,20.2059708
2456300.876,32669.38,0.665,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.432397336,0.000427893,7.144105284,0.008931194,178.2,250.0012,,20.47730468
2456300.88,32668.628,0.664,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431822417,0.000428572,7.147030106,0.005754699,178.1,250.0012,,20.47478245
2456300.883,32670.578,0.669,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.432837032,0.000434043,7.144559732,0.005383763,175.8,250.0013,,20.47212229
2456301.864,32670.988,0.743,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433392126,0.000500978,7.139444746,0.006168031,153.5,250.001,,20.77002647
2456301.868,32673.029,0.742,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.432615936,0.000498729,7.145655439,0.005871578,154.2,250.001,,20.76767293
2456301.871,32671.766,0.74,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.432112832,0.000495785,7.142788043,0.004300036,154.9,250.0013,,20.76531316
2456375.84,32571.109,0.613,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.43389331,0.000353677,7.117383759,-0.000263949,219.4,250.001,,20.86039824
2456375.843,32572.198,0.617,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433375283,0.000361233,7.118547992,0.000272101,214.7,250.001,,20.8540876
2456375.846,32571.049,0.619,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433305689,0.000367087,7.119011928,-0.002143681,211.6,250.001,,20.84785967
2456376.869,32567.771,0.632,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.432832821,0.000388532,7.115748904,-0.002536184,200.4,250.0011,,20.53328669
2456376.872,32568.644,0.628,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433026637,0.000385343,7.117898454,-0.003154127,203.1,250.0007,,20.52729611
2456376.875,32568.176,0.636,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433122759,0.000395338,7.11376391,-0.002369056,196.7,250.001,,20.52122804
2456377.795,32563.897,0.686,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.429483417,0.000400467,7.105795858,-0.010861302,192.2,250.0008,,20.39725562
2456377.799,32566.58,0.687,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430823726,0.000403982,7.104452048,-0.009499513,191.0,250.0007,,20.39071495
2456377.802,32565.797,0.691,"La Silla Observatory, Chile",GJ570.1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.430205078,0.00041109,7.106253433,-0.010236147,187.3,250.0008,,20.38446758
