Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2444754.128,924.3,13.7,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444771.112,970.5,19.0,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2444957.884,806.8,12.2,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445148.077,691.4,8.8,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445166.048,679.4,9.6,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445212.958,633.9,13.7,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445276.884,610.1,10.8,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445711.703,392.4,14.3,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445712.786,372.0,11.2,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445811.130,313.5,10.1,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445865.136,273.8,10.3,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
2445902.042,197.0,7.8,"Mauna Kea, Hawaii",Gamma Cephei,BJD,"Campbell et al. 1988 (ApJ, 331, 902)",f/8.2 coude spectrograph,Hydrogen Fluoride,Wright,,,,,,,,
