Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453152.712894,-9223.00,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453511.773550,-9218.40,1.00,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453520.744746,-9201.90,1.20,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453573.512143,-9212.50,1.10,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453574.522225,-9202.80,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453575.480749,-9209.10,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453576.536462,-9220.20,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453577.592499,-9222.70,1.00,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453578.510608,-9212.60,0.70,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453578.629602,-9209.80,1.00,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453579.462557,-9199.20,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453579.621153,-9198.10,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453585.461666,-9206.30,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453586.465158,-9215.20,0.50,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453587.464808,-9229.00,1.50,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453589.462024,-9207.00,0.50,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453590.463791,-9198.60,0.50,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453591.466379,-9205.10,0.50,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453592.464813,-9217.60,0.50,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453607.507527,-9202.00,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453608.482956,-9217.20,1.00,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453609.487931,-9224.90,1.50,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453757.877412,-9206.60,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453760.875568,-9213.60,1.20,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453761.858880,-9202.50,1.20,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453811.847024,-9206.00,1.10,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453813.827098,-9221.10,0.70,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453830.837258,-9213.50,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453862.701210,-9210.70,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453864.713534,-9196.90,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453867.752263,-9220.30,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453870.696580,-9206.40,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453882.657635,-9222.20,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453887.690900,-9216.80,0.70,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453918.621843,-9205.20,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453920.594936,-9229.80,0.90,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
2453945.542994,-9202.70,0.80,"La Silla Observatory, Chile",GJ 581,HJD,"Udry et al. 2007 (A&A, 469, 43L)",HARPS,Thorium Argon,Wright,,,,,,,,
