Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454928.762170,-49.49,6.43,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454955.805870,-85.15,7.37,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454956.814940,-7.84,6.61,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454963.782720,50.62,6.41,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455107.145830,-80.20,8.64,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455109.065670,48.40,7.00,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455112.138080,84.68,9.02,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455134.104720,-78.19,6.49,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455135.084190,55.31,5.83,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455136.101980,65.26,7.53,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455172.946290,51.15,6.80,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455174.100420,-85.04,6.32,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455187.967220,-79.11,7.17,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455189.072320,71.01,5.53,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455191.031820,-80.15,5.68,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455192.079020,37.54,5.33,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455193.041990,49.79,6.10,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455193.852280,-60.65,5.88,"Mauna Kea, Hawaii",HAT-P-24,BJD-UTC,"Kipping et al. 2010 (arXiv, 1008, 3389)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
