Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455932.134800,-2.80,39.60,,HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CYCLOPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455933.097690,-104.80,115.00,,HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CYCLOPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455933.188120,208.10,33.62,,HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CYCLOPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455938.169790,-265.20,21.28,,HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CYCLOPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455939.192240,-22.00,15.65,,HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CYCLOPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455943.223900,271.60,17.65,,HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CYCLOPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455701.469660,64.78,24.00,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455701.492180,53.78,25.00,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455701.673970,132.78,28.00,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455701.698580,132.78,29.00,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455702.466760,229.78,23.00,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455702.490460,209.78,23.00,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455721.482000,-190.09,61.09,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455722.561000,246.23,53.72,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455723.604000,28.04,59.75,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455724.611000,-409.37,58.84,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455726.630000,157.47,47.67,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455728.539000,-146.13,56.44,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455735.513000,-121.06,81.73,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455736.571000,286.48,50.45,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455737.464000,75.76,50.47,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455738.460000,-90.05,57.78,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455901.840000,281.61,34.46,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455911.841000,79.18,39.24,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455936.867000,274.56,48.03,"La Silla Observatory, Chile",HATS-1,BJD-UTC,"Penev et al. 2013 (2013, AJ, 145, 5)",FEROS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
