Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452013.671900,34.50,10.80,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452115.488500,41.40,11.20,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452327.660100,21.60,20.10,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452394.700600,24.70,7.90,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452446.575700,5.10,12.10,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452774.565400,-8.40,7.00,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453129.637000,35.10,8.00,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453167.546900,19.70,9.60,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453246.414600,19.90,10.50,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453371.737000,26.50,13.50,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453574.486600,11.20,9.90,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453871.666900,27.70,6.80,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453898.560500,-5.60,5.90,"Observatorio del Roque de los Muchachos, La Palma, Spain",HD 132563 B,JD-UTC,"Desidera et al. 2011 (2011, A&A, 533A, 90)",SARG,Gas Cell Absorption (Iodine),Wright,,,,,,,,
