Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2451359.59105,-9806.00,9.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451368.58796,-9786.00,9.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451375.57590,-9789.00,9.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451375.58792,-9806.00,10.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451390.51792,-9761.00,8.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451391.50718,-9790.00,6.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451398.50924,-9783.00,6.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451398.51735,-9758.00,15.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451401.49410,-9782.00,7.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451403.50477,-9786.00,11.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451417.51113,-9784.00,8.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451418.49461,-9799.00,7.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451432.68156,-9786.00,10.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451438.49208,-9779.00,7.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451611.89263,-9759.00,10.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451619.90776,-9737.00,11.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451620.87872,-9766.00,8.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451621.85553,-9768.00,12.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451622.84160,-9790.00,13.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451623.87898,-9765.00,13.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451624.76572,-9747.00,15.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451625.76343,-9761.00,7.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451626.86550,-9761.00,8.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451627.82696,-9763.00,8.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451628.78914,-9781.00,10.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451629.79052,-9769.00,8.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451630.78562,-9758.00,8.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451631.78381,-9773.00,7.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451632.76530,-9768.00,7.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451633.76479,-9783.00,9.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451634.81052,-9760.00,13.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
2451635.79164,-9762.00,9.00,"La Silla Observatory, Chile",HD 142022A,BJD,"Eggenberger et al. 2006 (A&A, 447, 1159)",CORALIE,Thorium Argon,Wright,,,,,,,,
