Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2451341.972222,296.6,2.7,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451369.915775,-222.7,2.8,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451372.890706,-302.0,2.1,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451373.807905,-315.8,2.8,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451411.810880,278.0,2.2,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2451706.054363,286.5,2.9,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2452062.016215,294.1,5.0,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2452128.891563,295.0,2.5,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2452446.970984,-334.8,2.4,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2452515.819479,-254.5,3.1,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2452805.089907,-356.6,2.2,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2452849.928738,291.5,2.8,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2453180.057662,-115.5,2.3,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2453552.033507,235.8,2.0,"Mauna Kea, Hawaii",HD 178911B,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,
2453653.66528,-57.4,6.2,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453801.00302,-217.2,6.1,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453803.02412,-268.6,6.2,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453837.93570,257.0,6.7,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453846.89693,323.3,5.6,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453866.83649,-19.7,5.6,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453868.81760,-86.7,6.2,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453883.79325,-343.1,4.5,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453954.82320,-349.3,5.7,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453955.82606,-336.2,5.4,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453956.82027,-326.8,5.8,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453958.81704,-291.4,5.5,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453960.80356,-245.8,5.5,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453965.80165,-102.8,5.4,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453966.78694,-69.2,5.3,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453971.77135,72.4,5.6,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453976.76788,181.7,5.7,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453979.76859,242.2,6.0,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453988.72794,328.9,6.0,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453988.73584,330.3,5.8,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2453993.71885,306.6,7.7,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454014.66291,-175.4,5.5,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454016.65503,-236.1,5.4,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454035.60988,-147.1,5.1,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454039.58877,-29.0,5.2,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454055.55127,302.5,5.6,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454063.54556,327.1,5.7,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454165.01752,-354.1,6.4,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
2454167.00332,-362.1,6.4,"McDonald Observatory, Texas",HD 178911B,JD,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HRS,Iodine,Wright,,,,,,,,
