Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Unit,Unit,Reference,Instrument,Wavelength_Calibration_Technique,Source,File_Name,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454250.90047,-30662.99,0.88,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454253.89490,-30689.15,0.70,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454365.50781,-30575.97,1.37,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454365.73781,-30577.79,0.62,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454367.49679,-30540.86,0.38,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454367.72155,-30535.38,0.73,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454368.49981,-30519.40,0.53,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454368.71411,-30498.29,1.86,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454369.49468,-30503.67,0.77,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454369.62706,-30501.89,0.50,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454369.68010,-30497.67,0.51,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454369.74838,-30497.94,0.63,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454577.77658,-30045.01,0.82,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
2454577.90446,-30051.42,0.40,ESO La Sill,HD 191760,BJD,m/s,Jenkins et al. 2009 (MNRA,HARPS,Thorium Argon,Wright,exoplanet_archive_data/UID_0099661_RVC_001.tbl,,,,,,,,
