Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453189.8080,-33.3,4.0,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453190.8643,-27.7,4.4,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453191.8243,-31.7,4.0,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453254.6094,-77.0,3.6,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453550.8993,-39.0,4.3,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453551.8692,-57.0,3.9,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453655.6332,-27.5,3.2,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453657.5999,-10.4,3.6,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453658.6117,-11.9,3.4,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453685.5468,23.8,3.3,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453872.8832,-46.8,3.5,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453982.7455,38.4,4.0,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2453988.7200,38.7,3.9,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454013.6776,23.1,3.6,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454066.5152,-13.4,3.7,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454067.5231,-2.7,3.6,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454216.9394,19.3,4.0,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454277.8176,71.4,5.6,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454299.8091,55.8,3.9,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454300.7959,37.7,3.6,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454338.7675,18.7,4.6,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454339.7078,30.7,4.4,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454397.5266,-2.0,4.7,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2454398.5065,-2.2,3.3,"Las Campanas Observatory, Chile",HD 205739,JD,"Lopez-Morales et al. 2008 (AJ, 136, 1901)",MIKE,Iodine,Wright,,,,,,,,
2457519.853,9629.592,1.872,"La Silla Observatory, Chile",HD205739,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.392704364,0.001405795,8.905076729,0.04725829,58.1,999.9983,,28.40975491
