Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453807.768,482.39,4.679,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.572072509,0.0003664,743.7424946,0.0,269.4,179.0981,,24.46614435
2453807.771,560.668,4.483,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.572880786,0.000346029,144.4943159,0.0,285.9,179.0993,,24.46032622
2453807.824,983.836,3.796,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.574068475,0.000303932,423.8264496,0.0,327.0,179.1011,,24.32566642
2453807.827,1059.508,3.76,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.573341578,0.000301906,461.3432405,0.0,329.2,179.1005,,24.31916476
2453807.899,1282.884,4.127,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.572219596,0.000315527,69.02225469,-27.88799835,313.5,179.0997,,24.13381896
2453807.901,1125.122,3.877,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.573381775,0.000322674,52.96799488,304.8276955,306.6,179.099,,24.12769433
2453875.587,-350.881,3.474,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571144596,0.000304045,44.79133989,20.39806874,323.9,156.3025,,-5.568706662
2453875.589,-339.623,3.397,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.572121282,0.000293892,46.42654833,477.8649485,336.0,156.2982,,-5.574307335
2453875.675,-575.551,3.697,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.572631306,0.000330026,36.61954788,2.630605508,299.3,118.4999,,-5.808156723
2453875.677,-572.212,3.724,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571930387,0.000328289,55.93788005,6.289579116,300.8,118.4994,,-5.813027045
2453876.594,-101.018,3.858,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571580379,0.000320121,429.6916028,0.0,307.7,136.0997,,-6.075960933
2453876.596,-171.881,3.939,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571402609,0.000323953,104.3466648,0.0,304.2,136.1016,,-6.081223558
2453880.583,-902.028,6.714,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.572151142,0.000588974,406.7339931,0.0,169.0,296.1,,-7.985853903
2453880.586,-1057.792,6.118,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571439277,0.00051637,-400.0201884,0.0,192.6,296.0985,,-7.995005192
2453881.607,-1051.731,5.561,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571422485,0.000456754,48.27431759,-879.8116188,217.1,179.1023,,-8.530054125
2453881.609,-1020.341,4.986,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571737838,0.000403535,53.5307953,1591.038548,246.4,179.0994,,-8.536782029
2453881.696,-379.834,4.003,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.572417344,0.000340959,2.991922019,0.0,296.1,204.8004,,-8.776129452
2453881.699,-560.455,3.916,La Silla Observatory,HD129926,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.571071553,0.000335735,485.0883838,0.0,302.2,204.8005,,-8.783457028
