Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454250.897,-30657.764,1.318,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.404068585,0.000982605,7.538007276,0.01176319,76.9,299.9984,,19.29234977
2454250.901,-30657.584,1.319,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.403027738,0.000973984,7.542260528,0.011446724,77.2,299.9984,,19.28462788
2454250.905,-30655.67,1.382,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.399192606,0.001079538,7.538829056,0.012619741,70.2,299.9945,,19.27687935
2454253.896,-30683.32,1.219,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.399810611,0.000789935,7.541704016,0.005446209,94.4,899.9962,,18.33435388
2454365.51,-30561.778,1.706,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.40083294,0.00154148,7.549669079,0.017909649,50.7,900.0006,,-24.0891185
2454365.738,-30566.424,1.108,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.401847739,0.000646323,7.539627042,0.009796551,110.5,900.0006,,-24.45676448
2454367.497,-30531.475,1.071,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.398294592,0.000415435,7.537358397,0.00805499,177.4,900.0003,,-24.46414092
2454367.722,-30523.883,1.24,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.402480162,0.000820266,7.541527127,0.00548851,90.3,900.0007,,-24.8334038
2454368.502,-30511.863,1.134,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.40312382,0.000590567,7.541805415,0.003540671,125.4,900.0006,,-24.66187408
2454368.714,-30475.98,2.246,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.403342684,0.00184656,7.607000429,0.043599684,41.6,899.9985,,-25.01122872
2454369.494,-30490.184,1.262,"La Silla Observatory, Chile",HD191760B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.402178732,0.000861079,7.544475781,0.005630917,85.8,900.0008,,-24.83098695
