Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453542.841,73.919,14.255,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389324401,0.007226605,10.02202251,0.060792487,12.6,112.4011,,5.807746136
2453543.834,-51.889,2.345,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.391451363,0.001078674,10.06835921,0.028477845,67.4,196.0991,,5.581624688
2453544.918,36.305,2.746,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388612843,0.00120484,10.07036521,0.017892861,60.1,125.9995,,5.284288744
2453546.906,48.331,3.173,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389840297,0.00144136,10.0492586,0.01473366,51.3,106.4017,,4.823579386
2453550.834,-9.455,4.281,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390545393,0.001970623,10.07245051,0.010372879,38.3,98.0994,,3.921075262
2453551.908,2.201,3.592,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.392223231,0.001614436,10.09498342,-0.000630829,45.9,128.9026,,3.619546716
2453572.863,-78.102,3.8,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388493537,0.001697744,10.09247084,0.021176861,43.4,111.3995,,-1.596779677
2453573.822,37.566,4.328,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.391605616,0.00196542,10.08700257,0.0291479,38.2,60.0007,,-1.813627359
2453574.788,-53.943,4.057,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.394420374,0.001845961,10.04556192,0.031706167,40.6,59.9989,,-2.035066583
2453574.918,-55.766,4.391,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.394841485,0.0019915,10.06893144,0.032923712,37.9,59.9995,,-2.132754294
2453575.727,16.779,4.044,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388985605,0.001856493,10.09068783,0.018549861,40.2,60.0002,,-2.23675913
2453575.926,47.379,4.807,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.397174804,0.002206113,10.10161964,0.008254193,34.6,60.0011,,-2.385568944
2453576.714,-4.715,1.878,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389310173,0.000805376,10.08282559,0.020111371,88.6,299.9998,,-2.474914377
2453576.865,-29.905,1.593,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.3892796,0.000688669,10.08034445,0.017208728,105.5,899.9978,,-2.590892714
2453577.766,-4.498,5.44,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389770952,0.0025379,10.07841472,0.050561847,30.6,55.4023,,-2.761904528
2453577.919,10.299,4.237,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.386214992,0.002008659,10.05202179,0.033222367,38.1,119.9984,,-2.876109554
2453578.828,11.397,2.159,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390633292,0.000919624,10.07049969,0.012704152,77.6,167.2016,,-3.058384865
2453579.768,-51.632,1.595,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390284402,0.000638042,10.07195639,0.02488116,111.6,499.9994,,-3.25819531
2453600.847,53.185,1.579,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.392864887,0.000627776,10.08003771,0.01348799,114.1,900.0009,,-8.205555482
2453600.856,47.872,3.064,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389422612,0.001338035,10.08766595,0.005466151,54.2,240.0016,,-8.210404027
2453600.859,47.18,3.281,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.391095787,0.001469633,10.05691127,0.005909459,50.1,240.0013,,-8.212243173
2453600.862,41.141,3.631,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.392974696,0.00160922,10.09115689,0.006952827,45.9,240.0001,,-8.214026064
2453600.865,48.211,3.657,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390574028,0.001618658,10.05881385,0.00400931,45.5,240.0001,,-8.215878016
2453600.868,47.432,3.752,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388085831,0.001650061,10.07517213,0.034681152,44.6,239.9992,,-8.217670231
2453600.871,47.768,3.409,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389085714,0.001485227,10.0929303,0.013077987,49.1,240.0027,,-8.219365449
2453600.874,40.524,3.536,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.391593872,0.001569025,10.07904049,0.015352534,46.9,240.0005,,-8.221059747
2453600.877,48.531,3.661,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.392573538,0.001636304,10.10111572,0.023485052,45.3,239.9994,,-8.222747721
2453600.881,52.362,2.743,La Silla Observatory,HD212301B,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390640873,0.001204289,10.08130448,0.023222766,60.3,240.0006,,-8.224471381
