Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454915.883,-24982.976,6.854,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,1.013760574,0.011092019,2.988887451,0.003588383,7.1,300.0,,24.51301649
2455489.497,-24975.804,3.896,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.971147703,0.004299134,2.988387715,-0.017354614,18.1,900.0009,,-24.63023901
2455997.903,-26705.438,1.156,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.699495449,0.000896244,3.52757852,-0.015317956,96.2,899.9992,,22.67151434
2456003.913,-25002.072,6.215,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.897851547,0.007286877,3.013620261,-0.013092126,10.3,899.9996,,23.60872901
2456007.904,-24995.221,4.449,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.909162989,0.00478116,3.00219188,0.002676217,16.2,900.0056,,24.12129172
2456010.911,-26709.204,0.902,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.695558729,0.000874728,3.530498983,-0.016457562,98.8,899.9938,,24.39557483
2456011.916,-24992.446,4.285,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.899520097,0.004737391,2.998908614,-0.00787761,16.6,899.9943,,24.46562
2456021.884,-24989.651,4.117,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.916297736,0.004516886,2.98842695,-0.012820541,17.3,900.0053,,24.9301849
2456029.882,-24981.933,4.878,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.911728946,0.005605506,2.98977401,-0.014813699,14.3,899.9938,,24.74137377
2456053.842,-26710.97,0.864,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.690627631,0.000930527,3.543697154,-0.018610158,93.6,899.994,,21.55696928
2456059.826,-26712.925,0.831,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.685796507,0.000895961,3.541606961,-0.021478766,97.4,899.9941,,20.21894171
2456062.782,-26710.033,0.882,"La Silla Observatory, Chile",HD230017,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.685664974,0.000978451,3.535926639,-0.017210263,88.3,899.9999,,19.56925109
