Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452948.742,-358.467,3.039,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.395255984,0.003367057,7.322323412,0.070598544,21.9,30.6958,,1.168249171
2452991.703,-64.401,1.105,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.40529907,0.001283408,7.349361081,0.025828865,58.4,119.9956,,-11.48651536
2452998.618,-183.734,2.641,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.412544218,0.003058192,7.361403078,0.037701141,25.6,29.9959,,-12.96767446
2452999.661,-336.402,3.23,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.417190497,0.004356277,7.311467525,0.057818142,18.8,14.8959,,-13.28713777
2453000.582,247.063,3.252,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.411003922,0.003816698,7.310498388,0.00402364,20.9,29.9958,,-13.32371135
2453000.717,189.213,2.659,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.414358299,0.003288577,7.307927487,0.015052099,24.2,29.9955,,-13.61727565
2453001.525,458.967,2.385,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.394419586,0.003022083,7.244649456,-2.36e-05,25.8,29.9956,,-13.41169274
2453001.767,-44.009,2.581,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.411997789,0.003314667,7.350848673,0.012464292,24.0,29.9953,,-13.9048233
2453002.611,-152.837,4.149,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.405564841,0.005636024,7.344763922,0.00229812,15.1,14.4959,,-13.81446946
2453015.574,167.091,2.189,"La Silla Observatory, Chile",HD25535A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.406188221,0.002878039,7.336503534,0.013803401,28.1,28.1008,,-16.0365739
