Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2451581.04559,-62.47,2.83,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2451705.82690,-60.65,3.12,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2451983.00875,-8.54,3.66,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2452064.86395,0.55,3.63,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2452308.07715,7.74,2.92,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2452391.03363,1.16,4.27,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2452681.05010,-1.92,3.41,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2452804.88465,12.67,3.42,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2453077.10434,-32.24,3.99,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2453398.97476,-20.67,2.78,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2453753.06771,7.44,3.18,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454131.09206,13.39,3.47,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454545.00223,0.62,2.84,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454546.00720,0.00,2.62,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454600.90598,-32.56,2.76,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454671.81115,-13.12,3.66,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454686.77023,-53.48,3.49,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454819.09864,5.22,2.10,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454820.10874,15.76,2.21,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454821.17169,18.42,3.48,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454822.16958,16.55,2.91,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454823.07178,32.62,1.91,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454903.13549,12.10,3.26,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454967.95619,-31.62,2.80,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2454968.94631,-33.00,2.12,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455021.75704,-24.72,2.54,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455022.80694,-9.14,2.18,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455024.80704,3.99,1.96,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455049.74445,-24.81,2.05,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455050.74198,-15.34,2.16,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455051.74421,-24.64,2.44,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455052.74328,-9.64,2.52,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455053.74585,-29.42,2.12,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455168.06193,16.20,2.37,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455201.00003,30.44,2.61,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455202.07289,30.08,2.12,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
2455203.11589,26.33,2.02,"Mauna Kea, Hawaii",HIP 57050,JD,"Haghighipour et al. 2010 (ApJ, 715, 271)",HIRES,Iodine,Wright,,,,,,,,
