Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2451685.853516,-31.4,3.8,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2451707.753906,0.8,8.7,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2451741.773438,39.5,4.7,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2451782.677734,78.4,4.0,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2451930.075195,197.0,4.8,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2451949.082031,225.1,5.2,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2451990.990234,292.4,5.1,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2452011.948242,79.7,4.7,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2452012.842773,64.8,4.2,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
2452013.010742,49.1,4.1,"Lick Observatory, California",Iota Draconis,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton,Iodine,Wright,,,,,,,,
