Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2456163.733467,19.38,3.90,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456164.729771,61.75,3.76,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456165.727060,46.70,3.76,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456172.720200,64.03,3.36,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456173.720971,69.62,3.31,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456175.727980,-5.05,5.06,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456177.719323,-14.71,3.56,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456178.716548,2.82,3.57,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456179.715151,43.05,3.67,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456290.173359,29.64,3.81,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456318.978815,-46.73,3.50,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456320.088103,-35.17,3.48,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456326.175000,-62.66,3.50,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456327.103147,-49.24,3.52,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456328.106726,-11.70,3.32,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456345.026477,8.71,3.58,"Manua Kea, Hawaii",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2456029.869867,27.02,20.27,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2456114.681684,-5.96,28.33,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2456117.673406,63.43,19.73,"Fred L. Whipple Observatory, Mt. Hopkins, Arizona",KELT-6,BJD-TDB,"Collins et al. 2014 (AJ, 147, 39)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
