Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453121.906,-22.08,3.75,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453122.948,-22.38,3.89,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453123.890,-23.23,4.04,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453131.838,-18.74,3.61,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453134.904,-25.03,3.78,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453144.858,-15.77,4.21,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453145.887,-16.16,4.12,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453223.735,-13.82,3.58,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453242.679,-9.57,3.74,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453470.970,16.15,4.45,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453476.824,17.74,3.85,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453503.906,27.94,4.23,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453518.921,13.54,3.96,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453573.710,16.00,4.02,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453575.763,28.69,4.06,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
2453602.694,18.17,3.49,"Lick Observatory, California",Kappa CrB,JD,"Johnson et al. 2008 (ApJ, 675, 784)",Hamilton,Iodine,Wright,,,,,,,,
