Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455014.912340,-12.50,19.30,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455016.791040,45.90,19.30,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455017.105680,5.00,19.10,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455019.111550,36.70,19.40,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455027.056310,-57.90,19.40,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455041.998550,-5.10,19.70,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455042.794490,44.00,19.60,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455073.831650,50.00,19.10,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455075.830910,-49.80,19.00,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455080.875640,-69.30,19.00,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455084.862540,-41.40,18.90,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455134.826060,1.70,19.20,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455437.780120,68.30,6.10,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455439.753820,-29.60,6.00,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455759.866170,-36.60,6.00,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455761.824900,48.50,6.40,"Mauna Kea, Hawaii",Kepler-12,BJD-UTC,"Fortney et al. 2011 (ApJS, 197, 9)",HIRES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
