Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454272.633942,9454.00,103.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454272.661301,9271.00,118.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454272.688652,9396.00,115.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454273.614632,9486.00,128.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454273.641701,9559.00,98.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454273.667137,9485.00,133.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454273.690788,9653.00,134.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454274.612755,9111.00,126.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454274.637009,9351.00,104.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454274.661842,9397.00,130.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454274.683777,9455.00,176.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454275.605759,9441.00,127.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454275.631256,9231.00,140.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454275.658302,9265.00,99.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
2454275.687073,9343.00,87.00,"Las Campanas Observatory, Chile",Lupus-TR-3,BJD,"Weldrake et al. 2008 (ApJ, 675, L37)",MIKE,Thorium Argon,Wright,,,,,,,,
