Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453449.782978,-11333.46,2.46,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453460.835689,-11383.21,3.58,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453469.789958,-11399.41,2.31,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453499.577320,-11484.08,4.44,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453500.640853,-11483.48,9.51,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453787.794345,-11490.31,2.23,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453812.758284,-11485.78,2.74,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453833.702527,-11417.48,1.97,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453862.612367,-11392.02,2.05,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453883.589298,-11350.62,1.74,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453922.499118,-11330.90,4.30,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2453950.475526,-11286.37,2.99,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454117.845316,-11337.07,4.04,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454137.805538,-11375.90,2.01,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454169.723278,-11453.19,1.78,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454194.778924,-11492.12,2.26,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454202.725180,-11543.09,1.93,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454225.659229,-11556.65,3.73,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454228.668949,-11549.85,2.66,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
2454233.616624,-11560.43,3.18,"ESO La Silla, Chile",NGC 4349 127,BJD,"Lovis & Mayor 2007 (A&A, 472, 657)",HARPS,Thorium Argon,Wright,,,,,,,,
