Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452480.92390,-49260.00,200.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Konacki et al. 2003 (ApJ, 597, 1076)",HIRES,Thorium Argon,Wright,,,,,,,,
2452481.90961,-49350.00,70.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Konacki et al. 2003 (ApJ, 597, 1076)",HIRES,Thorium Argon,Wright,,,,,,,,
2452483.90680,-49640.00,70.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Konacki et al. 2003 (ApJ, 597, 1076)",HIRES,Thorium Argon,Wright,,,,,,,,
2452480.4239,-49260.00,200.00,"Mauna Kea, Hawaii",OGLE-TR-56,MJD,"Konacki et al. 2003 (Nature, 421, 507)",HIRES,Iodine,Wright,,,,,,,,
2452481.4011,-49440.00,80.00,"Mauna Kea, Hawaii",OGLE-TR-56,MJD,"Konacki et al. 2003 (Nature, 421, 507)",HIRES,Iodine,Wright,,,,,,,,
2452481.4178,-49240.00,90.00,"Mauna Kea, Hawaii",OGLE-TR-56,MJD,"Konacki et al. 2003 (Nature, 421, 507)",HIRES,Iodine,Wright,,,,,,,,
2452483.3984,-49600.00,60.00,"Mauna Kea, Hawaii",OGLE-TR-56,MJD,"Konacki et al. 2003 (Nature, 421, 507)",HIRES,Iodine,Wright,,,,,,,,
2452483.4152,-49780.00,110.00,"Mauna Kea, Hawaii",OGLE-TR-56,MJD,"Konacki et al. 2003 (Nature, 421, 507)",HIRES,Iodine,Wright,,,,,,,,
2452480.9239,-48062.00,278.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452481.9095,-48177.00,67.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452483.9068,-48506.00,82.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452853.7474,-48408.00,87.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452853.8960,-48133.00,85.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452854.8062,-48287.00,163.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452855.7863,-48548.00,91.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452855.8772,-48654.00,74.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452863.7802,-48053.00,93.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452864.7497,-48188.00,74.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
2452864.8389,-47863.00,114.00,"Mauna Kea, Hawaii",OGLE-TR-56,HJD,"Torres et al. 2004 (ApJ, 609, 1071)",HIRES,Thorium Argon,Wright,,,,,,,,
