Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453152.59977099,0.8925352879999999,0.7796851091928103,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453202.58481201,-1.5632114573,1.592187215761648,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453203.53722286,1.4251899669,0.9164579235854189,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453205.5316787,0.7577340263,3.6218925094580525,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453207.507633157,-0.3840138387649568,1.7315803655447608,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453577.49560234,3.3169778211,0.9208487832436781,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453809.89358873,-0.5751675892,0.8825801230661916,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453810.783507,-0.6369112785,0.8147359092030362,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453812.7821523105,1.4621971265,0.893652304760984,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2453816.80955347,-3.0906419024,0.8761904016678429,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454173.8182221204,0.4043143059,0.8371418356052893,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454293.58648195,3.3631837128,0.9717132815084334,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454296.5934477397,-0.3006568984,1.015911621506546,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454299.5977683803,5.4537610005,1.0914395308604194,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454300.5575623,-0.9466374312000001,0.9572706745391026,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454646.56931367,1.4751505198,0.8935352170707949,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454658.56435948,1.8413555306,1.0860950455143723,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454666.54347292,0.7689031958,0.8138941709018396,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454878.86380173,-0.205459791,0.7516260312538661,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454879.8301322698,0.9030228981999999,0.8915371734170185,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454881.87370407,-0.21956411069999998,0.7720852392488342,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454882.8535425,-1.3401492317,0.8266543295231776,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454883.8616120596,-0.3710219943,1.0417872143541664,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454884.83539669,1.1164948797,0.8013389922947031,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454885.87507712,-0.1672156434,0.828370396783206,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454886.8435949697,0.4018809712,0.9124651762492232,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454989.65226392,3.7254495522,0.87984467049558,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2454992.65033511,1.9639891993,0.897636321027509,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455053.5561122,1.4089171082,0.9474674373723749,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455057.53838505,0.7850108954999999,0.8893904885488364,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455275.77167786,2.232275391,0.9895963941466684,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455276.8713981602,2.8559029369,1.3076037646221432,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455277.80603828,1.1735203324999999,1.114428762560957,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455278.79051876,2.5819606588000004,1.0611963023060467,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455279.79175883,0.8192637385999999,1.7124704406670093,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455280.79386632,-0.7413376528,1.0274290595983047,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455281.75992935,-3.2265858063,1.0870871432256513,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455282.8139018,-4.1255076077,0.9391042644981249,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455283.77873649,-3.3975679233,1.007978846880725,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455292.80282253,-2.2310374314,0.9334261611598295,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455611.80710604,6.708056001,0.9443523290506045,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455641.7513715294,-1.1451754565,0.9971512117024075,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455644.79098767,0.5234676007,0.7665431047830373,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455645.75943597,1.6684135639,0.8750057759066292,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455647.72989735,0.9601233259,2.198064273473698,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455648.82870979,1.8177574045,0.854731115055532,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455653.64950519,0.6677863539000001,0.8465033962979585,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455656.65148805,2.8559523626,0.8315651620409484,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455659.7779481,-0.3107940163,0.9598470188467539,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455663.6284356494,1.4824136732,1.1545167936366683,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455673.72249439,4.8671548128,0.9968958429935402,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2455715.56064849,1.9947484288000001,1.299026946079009,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456310.84059171,-0.8693703512,1.1317854722582372,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456320.86686076,-0.8647384125,1.0578750460496682,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456322.82801106,-1.3197374775,0.9612555952976795,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456354.82073621,-1.6194807181,1.0802023092478195,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456356.80482,-0.6744582825999998,0.9786494141495499,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456361.83896944,-0.6292781026,0.9906212051279789,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456362.88096015,-2.306916394,1.1233491791738386,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456363.7780797,-1.7981172302,1.0079911881179302,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456365.8183521703,-3.9682463401000003,1.040482265149397,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456366.79470007,-3.8210971397,1.1372863659663173,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456367.7728184,-6.1619392883,1.045740332996942,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456369.75452959,-4.7016297386,0.8192814864447986,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456370.74777451,-4.4500122071,0.8370769493993007,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456371.80540938,-3.1548752630999997,0.9078060740055522,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456373.7375062304,0.38242587640000003,0.8377996452805995,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456374.76446593,-2.261261828,1.170757558264902,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
2456417.706354612,0.47442728645076077,0.5752544654051274,"La Silla Observatory, Chile",Proxima Cen,JD,Anglada-Escudé et al. 2016,HARPS,Hollow Cathode Lamps (ThAr),Wright,,,,,,,,
