Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455580.011622,231.40,33.80,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455581.027117,383.20,37.70,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455583.034587,-581.60,26.70,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455583.961503,276.40,32.60,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455585.003598,327.30,27.20,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455587.983438,271.20,27.40,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455602.958910,-396.50,32.90,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455604.034894,210.70,29.60,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455604.966229,59.30,29.20,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455605.966418,-737.80,23.60,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455607.001348,-536.20,32.90,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455607.987854,346.70,35.50,"Fred L. Whipple Observatory (FLWO), Mt. Hopkins, Arizona",Qatar-2,BJD-UTC,"Bryan et al. 2011 (arXiv, 1110, 5912)",TRES,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
