Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452988.74,-3.995,1.635,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.772386983,0.002228724,24.14370918,-7.54219367,36.2,899.9957,,0.675760406
2452998.728,-10.103,2.518,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.778252258,0.003776814,2.94595934,12.75661347,21.3,899.996,,0.541096508
2453007.807,-3.507,1.345,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.771104914,0.001612708,32.54802827,4.159271633,50.3,2620.0926,,0.32422554
2453762.608,-0.659,1.65,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.777279812,0.002262076,5.599460438,0.072799082,36.6,900.0024,,0.072344015
2453764.63,1.438,1.276,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.7752006,0.001487685,5.586350023,0.060665399,55.7,900.0018,,0.010715431
2454081.737,7.911,1.785,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.78323791,0.002291989,5.581489902,0.059026932,36.1,900.0028,,0.714853609
2454455.683,-0.091,1.997,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.7966689,0.002726966,20.51302874,-0.405460979,30.8,500.0,,0.650510234
2454456.565,-2.926,1.454,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.801582105,0.001937399,3.208979503,-0.010542609,43.5,900.0,,0.745661242
2454457.58,-0.851,1.257,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.770831076,0.00175106,3.2228627,-0.012460699,48.0,900.0,,0.719630362
2454458.656,0.223,1.221,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.775054733,0.001639917,3.22138108,-0.015209856,51.3,900.0,,0.632795949
2454459.669,-1.69,1.184,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.773138356,0.001677726,3.221792593,-0.009988581,50.1,900.0,,0.603362681
2454460.723,0.372,1.516,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.778883493,0.002100437,3.217687012,-0.009566759,40.0,900.0,,0.529980285
2454462.666,-0.42,1.175,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.772746473,0.001620106,3.215852192,-0.009559987,51.8,900.0,,0.559147573
2454464.705,7.726,1.5,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.777407647,0.002071167,3.212088077,-0.005596959,40.6,900.0,,0.484381117
2454902.602,-5.011,1.13,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.769402563,0.001549446,5.565711995,0.049453101,54.6,900.0,,-0.6987651
2455298.513,12.511,1.503,"La Silla Observatory, Chile",HIP29322,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.77735877,0.002001309,5.596102419,0.070733073,42.2,900.0005,,-0.964336488
