Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453581.907,-3600.343,2.5,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.601286402,0.00092183,14.29179633,-0.291804705,113.8,300.001,,8.223217827
2453581.911,-3535.603,2.415,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.599155556,0.000869441,14.25145277,-0.256783233,120.2,300.0018,,8.215692176
2453582.898,14879.736,3.08,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.639550245,0.001030089,18.60815307,-3.330818276,105.2,299.999,,7.774850452
2453582.902,14983.806,3.047,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.638406343,0.001005788,18.76415479,7.190794963,107.7,300.0,,7.767054322
2453712.55,-3565.241,2.142,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.592158577,0.000720884,14.35635623,-0.226720598,145.1,300.0016,,-27.66931031
2453712.554,-3620.217,2.138,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.59149259,0.000707269,14.32814696,-0.333677366,146.5,300.0004,,-27.67389084
2453714.563,-16399.924,3.116,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.614491935,0.000959412,14.81261458,0.0,109.4,300.0005,,-27.30029241
2453714.567,-16376.075,3.177,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.615236887,0.000995334,14.18730992,0.0,105.5,300.0014,,-27.30389937
2453716.53,9469.492,2.506,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.619148772,0.000785023,12.18839379,-2.330360229,136.2,300.0005,,-26.84838722
2453716.534,9538.054,2.637,La Silla Observatory,HD210139,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.618862578,0.000846547,12.17174864,-0.049199237,125.7,300.0007,,-26.85337484
