Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2458591.906,3.29,0.43,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458592.92,1.6,1.21,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458593.908,-8.03,0.52,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458594.904,-7.65,0.48,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458595.908,3.51,0.64,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458617.906,-6.95,0.37,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458618.889,-2.59,0.5,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458619.853,4.84,0.65,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458620.916,8.73,0.52,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458621.893,0.82,0.52,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458624.888,9.44,0.49,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458625.884,7.96,0.5,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458626.9,0.47,0.44,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458627.864,-1.1,0.75,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458674.822,-5.68,0.6,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458675.818,-7.41,0.58,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458676.818,-2.46,0.63,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458677.812,4.46,0.54,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458678.808,2.32,0.5,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458679.773,-6.51,0.88,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458680.722,-11.79,0.84,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458681.824,3.39,0.65,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458704.684,-4.57,0.65,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458705.668,-0.9,0.74,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458738.598,0.02,0.74,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458760.65,-2.05,0.95,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
2458769.526,0.22,1.54,,TOI141,, Teske et al. 2021(ApJS 256 33),PFS2,, MTS,,,,,,,,
