Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454158.87483,12631.981,35.91,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454159.60602,12300.144,48.46,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454160.72350,12203.973,42.05,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454160.89623,12242.839,27.63,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454161.54624,12544.027,43.39,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454161.64004,12573.295,36.15,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454161.94028,12607.145,40.96,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454162.56455,12519.773,35.47,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454162.78902,12455.979,30.24,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454162.89244,12405.776,44.10,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454163.60348,12282.121,36.62,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454163.80129,12251.532,34.28,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454163.85063,12169.278,42.16,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454164.60323,12383.956,41.92,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454164.78188,12437.942,39.40,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
2454164.82594,12404.094,47.11,"La Silla Observatory, Chile",TW Hya,JD,"Setiawan et al. 2008 (Nature, 451, 38)",FEROS,Thorium Argon,Wright,,,,,,,,
