Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452884.395234,-68.40,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452884.405361,-71.00,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452884.487443,-78.90,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452892.357942,-60.50,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452892.429642,-79.70,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452892.440869,-64.50,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452935.251160,-2.40,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452949.252455,39.50,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2452949.266181,32.60,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
2453092.658509,0.20,6.40,"Observatoire de Haute Provence (OHP), France",Theta Cyg,JD,"Desort et al. 2009 (A&A, 506, 1469)",ELODIE,Thorium Argon,Wright,,,,,,,,
