Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454187.07793,97.5,11.8,"Mauna Kea, Hawaii",TrES-4,HJD,"Mandushev et al. 2007 (ApJ, 667, 195L)",HIRES,Iodine,Wright,,,,,,,,
2454188.11122,58.9,9.4,"Mauna Kea, Hawaii",TrES-4,HJD,"Mandushev et al. 2007 (ApJ, 667, 195L)",HIRES,Iodine,Wright,,,,,,,,
2454189.02631,-76.5,11.6,"Mauna Kea, Hawaii",TrES-4,HJD,"Mandushev et al. 2007 (ApJ, 667, 195L)",HIRES,Iodine,Wright,,,,,,,,
2454189.14920,-73.9,10.3,"Mauna Kea, Hawaii",TrES-4,HJD,"Mandushev et al. 2007 (ApJ, 667, 195L)",HIRES,Iodine,Wright,,,,,,,,
2454294.7715,-5.1,18.6,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.7901,-12.7,16.2,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.7991,-7.3,16.7,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8081,4.5,15.8,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8171,44.1,16.3,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8261,22.5,17.8,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8351,20.7,15.4,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8441,26.8,16.1,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8531,-0.2,16.6,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8621,-10.2,13.7,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8711,-20.9,14.6,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8801,-39.3,13.8,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8891,-52.5,12.8,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.8981,-51.6,14.5,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.9071,-45.5,15.2,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.9161,-77.1,14.6,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.9252,-70.0,12.2,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.9342,-43.9,13.0,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.9432,-41.3,11.9,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454294.9522,-16.5,14.0,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
2454295.0289,-31.6,14.2,"Mauna Kea, Hawaii",TrES-4,HJD,"Narita et al. 2010 (arXiv, 1003, 2268)",HDS,Iodine,Wright,,,,,,,,
