Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454494.4461,-11298.00,20.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4526,-11300.00,26.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4578,-11345.00,27.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4625,-11379.00,27.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4675,-11390.00,28.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4721,-11354.00,28.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4767,-11460.00,29.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4813,-11448.00,28.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4861,-11419.00,27.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
2454494.4913,-11411.00,27.00,"Observatoire de Haute Provence (OHP), France",XO-3,BJD,"Hebrard et al. 2008 (A&A, 488, 763)",SOPHIE,Thorium Argon,Wright,,,,,,,,
