Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453102.2929,-11.4,7.0,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453213.1702,-85.6,7.1,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453310.9914,23.7,5.3,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453448.3230,-50.3,4.8,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453470.3333,-48.7,7.2,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453499.1952,-53.7,5.9,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453520.3046,4.5,7.9,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453579.0731,-23.5,7.8,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453607.0846,-46.2,8.8,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453636.0151,-30.2,6.5,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453695.9542,80.5,6.1,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453813.3486,77.0,6.2,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453887.2842,-32.9,5.2,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453962.0643,103.6,6.9,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453967.0716,71.7,8.7,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453974.0548,59.5,6.9,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2453987.0199,23.8,6.6,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454018.0165,-45.5,6.5,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454022.0373,-81.2,5.2,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454048.9763,-41.7,6.1,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454088.8857,50.7,6.1,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454143.3757,-16.9,7.1,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454172.3496,-57.1,5.6,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454216.3038,31.0,5.8,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454220.3112,58.2,6.9,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
2454254.1264,8.5,5.5,"Okayama Astrophysical Observatory (OAO), Japan",Xi Aql,JD,"Sato et al. 2008 (PASJ, 60, 539)",HIDES,Iodine,Wright,,,,,,,,
