Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452776.107091,326.60,20.80,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452776.123872,317.80,8.00,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452777.006125,277.80,9.10,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452777.008682,295.60,8.10,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452777.011761,281.70,7.00,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452777.014538,289.70,7.50,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452779.074177,290.10,7.70,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452779.078169,294.60,7.50,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452779.081873,292.60,8.30,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452779.998369,289.80,8.20,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452780.005556,287.70,7.90,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452781.054575,261.60,8.00,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452781.056889,281.20,8.10,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452976.383870,74.50,6.70,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452976.388523,70.70,6.40,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452976.392621,63.90,7.20,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452976.405643,76.70,7.60,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452976.409497,74.60,6.30,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452977.373912,8.20,7.60,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452977.376826,20.50,7.70,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452977.380842,9.70,5.50,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452977.385148,10.20,6.40,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452977.388725,17.90,6.10,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452977.392278,4.10,6.50,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
2452977.395890,8.20,6.40,"Bohyunsan Optical Astronomy Observatory (BOAO), Korea",Gamma 1 Leo,HJD,"Han et al. 2010 (A&A, 509, 24)",BOES,Iodine,Wright,,,,,,,,
