Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2451949.326610,-20.70,4.40,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2451963.233300,-20.00,8.40,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2451963.316810,-23.80,4.70,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2451965.333580,-45.60,5.10,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2451966.302010,-20.70,4.30,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452016.291620,-36.60,7.00,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452018.194030,-17.20,3.80,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452041.139400,-6.70,3.90,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452042.119520,13.50,3.80,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452123.989450,22.30,4.40,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452132.991720,39.60,3.00,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452133.009420,41.80,3.20,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452272.350350,-18.80,4.60,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2452337.318400,9.70,4.40,"Okayama Astrophysical Observatory, Japan",omega Ser,JD-UTC,"Sato et al. 2013 (2013, PASJ, 65, 85)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
