Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453000.213770,12.90,4.60,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453081.127510,33.20,4.80,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453311.257520,28.00,4.40,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453427.126510,22.60,5.10,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453500.014800,-9.60,5.50,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453660.314780,-17.70,4.50,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453729.218760,-29.60,4.70,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453812.098460,-20.40,4.60,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2453886.964330,-17.70,6.50,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454022.323030,-47.90,6.20,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454123.152180,-19.60,5.20,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454186.047630,-14.60,4.60,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454216.062040,-17.50,5.00,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454461.338040,16.60,4.10,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454525.120250,14.70,4.60,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454587.946120,28.30,6.30,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454796.331910,37.50,4.60,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454887.997620,26.90,5.40,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454925.033790,43.40,4.80,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455166.101630,0.10,5.10,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455205.197280,-7.50,4.50,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455233.130030,-7.50,5.10,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455346.978210,-26.80,5.00,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455502.248940,-39.80,6.20,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455558.238520,-27.50,4.70,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455625.052590,-31.80,4.50,"Okayama Astrophysical Observatory (OAO), Japan",omicron UMa,JD-UTC,"Sato et al. 2012 (2012, PASJ, 64, 135)",HIDES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
