halpha_e,obs_site,time,reference,time_system,FWHM,bisector,instr,star,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,uncert,halpha,rv,wavelength_calib_technique,source
,Mauna Kea,2450838.893,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4.1,,-24.6,Iodine,Wright
,Mauna Kea,2450861.915,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4.1,,-42.2,Iodine,Wright
,Mauna Kea,2451171.026,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4,,-34.6,Iodine,Wright
,Mauna Kea,2451226.938,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4.2,,-40.3,Iodine,Wright
,Mauna Kea,2451551.989,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4.6,,-24.8,Iodine,Wright
,Mauna Kea,2451553.007,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.7,,-24.8,Iodine,Wright
,Mauna Kea,2451580.932,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.9,,-18.8,Iodine,Wright
,Mauna Kea,2451883.116,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.8,,26.1,Iodine,Wright
,Mauna Kea,2451898.128,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.6,,16.2,Iodine,Wright
,Mauna Kea,2451971.996,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4,,24.6,Iodine,Wright
,Mauna Kea,2452243.116,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4.3,,45.1,Iodine,Wright
,Mauna Kea,2452362.963,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,5.1,,31.8,Iodine,Wright
,Mauna Kea,2450838.893,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.8,,-26.8,Iodine,Wright
,Mauna Kea,2450861.915,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.5,,-48.1,Iodine,Wright
,Mauna Kea,2451171.026,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.6,,-44.5,Iodine,Wright
,Mauna Kea,2451226.938,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.7,,-44.1,Iodine,Wright
,Mauna Kea,2451551.989,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.5,,-28.8,Iodine,Wright
,Mauna Kea,2451553.007,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.3,,-27.6,Iodine,Wright
,Mauna Kea,2451580.932,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.3,,-18.9,Iodine,Wright
,Mauna Kea,2451883.116,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3,,17.5,Iodine,Wright
,Mauna Kea,2451898.127,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3,,17.4,Iodine,Wright
,Mauna Kea,2451971.996,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3,,19,Iodine,Wright
,Mauna Kea,2452243.116,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.4,,42.2,Iodine,Wright
,Mauna Kea,2452362.963,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,4.1,,37.2,Iodine,Wright
,Mauna Kea,2452576.125,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,3.6,,38.8,Iodine,Wright
