,filename,simbad_name
0,Database/TIC 24250831.csv,TIC 24250831
1,Database/Gaia DR2 5159273530961537280.csv,2MASS J02581021-1253066
2,Database/TIC 25994436.csv,TIC 25994436
3,Database/TIC 74964984.csv,TIC 74964984
4,Database/TIC 322063810.csv,TOI-253
5,Database/TIC 155745933.csv,TIC 155745933
6,Database/TIC 140580875.csv,TIC 140580875
7,Database/TIC 188314814.csv,TIC 188314814
8,Database/TIC 62378269.csv,ADS   347 A
9,Database/TIC 469974193.csv,TIC 469974193
10,Database/TIC 70829383.csv,TIC 70829383
11,Database/TIC 435926868.csv,TIC 435926868
12,Database/TIC 396042448.csv,TIC 396042448
13,Database/TIC 262843771.csv,TIC 262843771
14,Database/WASP-3.csv,TIC 27848472
15,Database/Gaia DR1 6154982873003739008.csv,Gaia DR2 6154982877299042944
16,Database/TIC 466710886.csv,TIC 466710886
17,Database/TIC 37644584.csv,TIC 37644584
18,Database/HD 100777.csv,TIC 49427341
19,Database/HD 75289.csv,TIC 181741837
20,Database/TIC 260795157.csv,TIC 260795157
21,Database/TIC 207171620.csv,TIC 207171620
22,Database/TIC 388816947.csv,TIC 388816947
23,Database/WASP-16.csv,TIC 46096489
24,Database/TIC 36105482.csv,TIC 36105482
25,Database/TIC 255532033.csv,TIC 255532033
26,Database/TIC 426014839.csv,TIC 426014839
27,Database/TIC 326185137.csv,CD-27   355
28,Database/TIC 23764278.csv,TIC 23764278
29,Database/TIC 332487879.csv,CD-27 16284
30,Database/TIC 140045538.csv,TIC 140045538
31,Database/30 Ari B.csv,TIC 22874788
32,Database/TIC 106347931.csv,TIC 106347931
33,Database/TIC 130543859.csv,TIC 130543859
34,Database/TIC 238874961.csv,TIC 238874961
35,Database/HD 70642.csv,TIC 183356952
36,Database/TIC 299045321.csv,TIC 299045321
37,Database/TIC 350316426.csv,TIC 350316426
38,Database/TIC 146522419.csv,TIC 146522419
39,Database/TIC 133556737.csv,TIC 133556737
40,Database/TIC 270561176.csv,Cl* Melotte   25    EGG      32
41,Database/TIC 447427936.csv,TIC 447427936
42,Database/TIC 421698631.csv,TIC 421698631
43,Database/TIC 406277015.csv,TIC 406277015
44,Database/TIC 181254250.csv,TIC 181254250
45,Database/TIC 101141436.csv,TIC 101141436
46,Database/TIC 399637637.csv,TIC 399637637
47,Database/TIC 51104452.csv,TIC 51104452
48,Database/TIC 325862858.csv,TIC 325862858
49,Database/TIC 410994457.csv,TIC 410994457
50,Database/TIC 141765836.csv,TIC 141765836
51,Database/TIC 268764405.csv,TIC 268764405
52,Database/TIC 389522775.csv,TIC 389522775
53,Database/Gaia DR2 5264749303457104384.csv,HD  43834B
54,Database/TIC 114921859.csv,TIC 114921859
55,Database/BD+202184.csv,TIC 175290574
56,Database/TIC 399092601.csv,TIC 399092601
57,Database/TIC 374704768.csv,TIC 374704768
58,Database/TIC 345412040.csv,TIC 345412040
59,Database/TIC 7259908.csv,TIC 7259908
60,Database/TIC 464253921.csv,LLNS  1023
61,Database/TIC 37660988.csv,TIC 37660988
62,Database/TIC 79394646.csv,TIC 79394646
63,Database/TIC 36737535.csv,TIC 36737535
64,Database/TIC 248913396.csv,TIC 248913396
65,Database/HD 20868.csv,TIC 142851295
66,Database/HAT-P-40.csv,TIC 199671901
67,Database/TIC 280200611.csv,TIC 280200611
68,Database/TIC 125826791.csv,TIC 125826791
69,Database/TIC 289592423.csv,TIC 289592423
70,Database/TIC 305065042.csv,TIC 305065042
71,Database/TIC 340229490.csv,TIC 340229490
72,Database/TIC 29580928.csv,TIC 29580928
73,Database/TIC 422432907.csv,TIC 422432907
74,Database/TIC 178171112.csv,TIC 178171112
75,Database/TIC 316806062.csv,TIC 316806062
76,Database/CoRoT-8.csv,TIC 391880567
77,Database/TIC 165874294.csv,HD 118679A
78,Database/TIC 99120544.csv,TIC 99120544
79,Database/TIC 382791305.csv,TIC 382791305
80,Database/TIC 343601108.csv,TIC 343601108
81,Database/HD 170469.csv,TIC 320362897
82,Database/TIC 348277669.csv,TIC 348277669
83,Database/TIC 278729421.csv,TIC 278729421
84,Database/TIC 22582054.csv,TIC 22582054
85,Database/TIC 372346146.csv,TIC 372346146
86,Database/HD 222368.csv,TIC 419919445
87,Database/TIC 198460187.csv,TIC 198460187
88,Database/TIC 42755146.csv,TIC 42755146
89,Database/HD 160691.csv,TIC 362661163
90,Database/HD 83443.csv,TIC 32820141
91,Database/TIC 450568754.csv,CD-62   652
92,Database/TIC 430173956.csv,TIC 430173956
93,Database/HD 145377.csv,TIC 68165288
94,Database/TIC 100014454.csv,TIC 100014454
95,Database/TIC 158623531.csv,TIC 158623531
96,Database/TIC 313836794.csv,TIC 313836794
97,Database/HD 196885.csv,TIC 282257777
98,Database/TIC 328070002.csv,TIC 328070002
99,Database/TIC 394134589.csv,TIC 394134589
100,Database/TIC 77612635.csv,TIC 77612635
101,Database/TIC 107166702.csv,TIC 107166702
102,Database/TIC 80430415.csv,TIC 80430415
103,Database/TIC 163089603.csv,TIC 163089603
104,Database/TIC 95789856.csv,TIC 95789856
105,Database/TIC 266680951.csv,TIC 266680951
106,Database/TIC 41378014.csv,TIC 41378014
107,Database/TIC 9725627.csv,TIC 9725627
108,Database/TIC 123786919.csv,TIC 123786919
109,Database/TIC 347626733.csv,TIC 347626733
110,Database/HD 34411.csv,TIC 409104974
111,Database/TIC 374742258.csv,TIC 374742258
112,Database/TIC 89320803.csv,TIC 89320803
113,Database/TIC 66626560.csv,TIC 66626560
114,Database/TIC 332359973.csv,TIC 332359973
115,Database/TIC 318042295.csv,TIC 318042295
116,Database/TIC 143350972.csv,TOI-440
117,Database/HD 37124.csv,TIC 19631691
118,Database/TIC 305746628.csv,TIC 305746628
119,Database/TIC 130355695.csv,TIC 130355695
120,Database/TIC 390472975.csv,TIC 390472975
121,Database/TIC 424736467.csv,TIC 424736467
122,Database/TIC 157787615.csv,TIC 157787615
123,Database/TIC 3600826.csv,TIC 3600826
124,Database/HAT-P-41.csv,TIC 398895470
125,Database/TIC 132208116.csv,TIC 132208116
126,Database/TIC 325275315.csv,TIC 325275315
127,Database/TIC 293936312.csv,TIC 293936312
128,Database/TIC 231925611.csv,TIC 231925611
