name,time,RV,uncert,instr
TOI134,2458406.616,1.83,1.01,PFS2
TOI134,2458407.619,-3.66,0.79,PFS2
TOI134,2458408.607,1.48,0.85,PFS2
TOI134,2458409.603,4.47,0.73,PFS2
TOI134,2458410.577,-4.24,0.77,PFS2
TOI134,2458411.604,-4.49,0.66,PFS2
TOI134,2458412.593,-2.72,0.59,PFS2
TOI134,2458413.655,-0.53,0.78,PFS2
TOI134,2458414.608,-2.85,0.6,PFS2
TOI134,2458415.592,3.4,0.72,PFS2
TOI134,2458416.602,3.6,0.67,PFS2
TOI134,2458417.559,-0.54,1.14,PFS2
TOI134,2458418.606,4.79,0.73,PFS2
TOI134,2458468.56,5.71,1.66,PFS2
TOI134,2458473.555,-2.81,1.46,PFS2
